epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4707.07,0.77389,0.75271,1.2214,0.88554,0.86058,0.91853,0.6809,0.84591,0.67713,1.30211,0.000815959,0.000815959,0.000815959
67,4782.08,0.77849,0.75914,1.22429,0.89142,0.8567,0.92497,0.68406,0.8495,0.6709,1.29816,0.000806528,0.000806528,0.000806528
68,4854.94,0.77365,0.75312,1.22292,0.90404,0.83969,0.91669,0.68076,0.85135,0.68908,1.29731,0.000797096,0.000797096,0.000797096
69,4927.36,0.76527,0.73586,1.21625,0.88953,0.85693,0.92093,0.6835,0.86236,0.66908,1.31156,0.000787665,0.000787665,0.000787665
70,5001.3,0.7628,0.72857,1.21099,0.89768,0.84946,0.91998,0.68155,0.85982,0.67706,1.30485,0.000778233,0.000778233,0.000778233
71,5072.53,0.76378,0.74154,1.21629,0.88573,0.85834,0.91911,0.68094,0.858,0.69025,1.31414,0.000768802,0.000768802,0.000768802
72,5144.01,0.76787,0.73379,1.21838,0.90219,0.84577,0.92338,0.68942,0.84477,0.67069,1.29063,0.000759371,0.000759371,0.000759371
73,5215.11,0.76061,0.73618,1.21464,0.91207,0.84396,0.92614,0.68899,0.84489,0.66551,1.28545,0.000749939,0.000749939,0.000749939
74,5285.6,0.7581,0.73077,1.21334,0.90009,0.85666,0.92084,0.68709,0.85021,0.67225,1.29295,0.000740508,0.000740508,0.000740508
75,5355.91,0.76488,0.74091,1.21125,90.14%,85.37%,0.92209,0.68683,0.85475,0.66307,1.30755,0.000731076,0.000731076,0.000731076
76,5427.3,0.76436,0.73063,1.21214,0.90742,0.8462,0.92171,0.68972,0.84284,0.64814,1.28816,0.000721645,0.000721645,0.000721645
77,5497.31,0.75453,0.71828,1.20338,0.90753,0.85137,0.92351,0.68764,0.84297,0.66466,1.28842,0.000712214,0.000712214,0.000712214
78,5568.35,0.74589,0.71071,1.19881,0.88977,0.86552,0.92601,0.69132,0.83767,0.65742,1.28003,0.000702782,0.000702782,0.000702782
79,5641.49,0.74722,0.71192,1.20153,0.91306,0.86471,0.92624,0.69375,0.83723,0.64205,1.27431,0.000693351,0.000693351,0.000693351
80,5711.9,0.74563,0.70503,1.19762,0.88299,0.86205,0.9194,0.68862,0.83777,0.65781,1.28765,0.000683919,0.000683919,0.000683919
81,5781.99,0.74562,0.70875,1.19843,0.89734,0.86166,0.92031,0.68908,0.8396,0.65161,1.28816,0.000674488,0.000674488,0.000674488
82,5854.99,0.75396,0.71137,1.20309,0.90249,0.8686,0.92502,0.69224,0.849,0.64736,1.29199,0.000665057,0.000665057,0.000665057
83,5927.47,0.73701,0.6819,1.18753,0.89915,0.86405,0.92457,0.69437,0.83602,0.64162,1.28653,0.000655625,0.000655625,0.000655625
84,6001.69,0.73646,0.68831,1.19106,0.89964,0.86286,0.92312,0.69446,0.83266,0.62917,1.28135,0.000646194,0.000646194,0.000646194
85,6073.85,0.73987,0.69279,1.18873,0.91437,0.85279,0.92188,0.69402,0.84514,0.64358,1.28464,0.000636762,0.000636762,0.000636762
86,6146.69,0.73495,0.69499,1.18781,0.90689,0.85886,0.92535,0.69671,0.83713,0.62444,1.28657,0.000627331,0.000627331,0.000627331
87,6216.46,0.7366,0.69425,1.1912,0.91362,0.85067,0.92503,0.69944,0.82605,0.6358,1.28005,0.0006179,0.0006179,0.0006179
88,6286.8,0.72808,0.69831,1.18955,0.89948,0.85957,0.92364,0.6952,0.84122,0.63494,1.29257,0.000608468,0.000608468,0.000608468
89,6358.79,0.72601,0.67857,1.18319,0.91399,0.85292,0.92704,0.69537,0.83968,0.62338,1.28966,0.000599037,0.000599037,0.000599037
90,6430.84,0.72681,0.6802,1.18268,0.90119,0.86281,0.92132,0.69498,0.84268,0.62927,1.28802,0.000589605,0.000589605,0.000589605
91,6500.37,0.72632,0.67613,1.18068,0.90885,0.85784,0.92844,0.70049,0.82913,0.62148,1.27547,0.000580174,0.000580174,0.000580174
92,6571.42,0.71461,0.66158,1.17514,0.89017,0.86049,0.92013,0.69699,0.8241,0.63328,1.27404,0.000570743,0.000570743,0.000570743
93,6641.76,0.71145,0.6676,1.17525,0.90879,0.8593,0.92407,0.69829,0.8252,0.62715,1.27697,0.000561311,0.000561311,0.000561311
94,6712.41,0.71599,0.67391,1.18048,0.90525,0.87433,0.93001,0.70413,0.82352,0.61402,1.27182,0.00055188,0.00055188,0.00055188
95,6784.13,0.71491,0.66883,1.1775,0.91206,0.86209,0.92723,0.70598,0.82131,0.61225,1.26794,0.000542448,0.000542448,0.000542448
96,6854.36,0.71159,0.65813,1.17547,0.90908,0.85999,0.9245,0.70492,0.81503,0.61461,1.25898,0.000533017,0.000533017,0.000533017
97,6924.49,0.71095,0.65154,1.16859,0.90427,0.87162,0.92874,0.70639,0.81993,0.60927,1.268,0.000523586,0.000523586,0.000523586
98,6995.28,0.70741,0.6565,1.16892,0.90743,0.86845,0.92693,0.70194,0.81266,0.61367,1.26785,0.000514154,0.000514154,0.000514154
99,7066.42,0.69946,0.64258,1.16343,0.9188,0.86541,0.93017,0.70439,0.81156,0.6156,1.26551,0.000504723,0.000504723,0.000504723
100,7136.59,0.7053,0.64807,1.1714,0.90508,0.87515,0.92876,0.70346,0.81593,0.61226,1.27127,0.000495291,0.000495291,0.000495291
